FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
aldo-keto reductase (NADPH) activity (GO:0004033)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
aldose reductase (NADPH) activity (GO:0004032)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
tRNA adenosine(64)-2'-O-ribosylphosphate transferase activity (GO:0043399)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO activating enzyme activity (GO:0019948)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on diphenols and related substances as donors (GO:0016679)	13	0	.45	-	 < 0.01	1.00E00	1.00E00
alcohol O-acetyltransferase activity (GO:0004026)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	16	0	.56	-	 < 0.01	1.00E00	1.00E00
sulfonate dioxygenase activity (GO:0000907)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase (NAD+) activity, zinc-dependent (GO:0004024)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, iron-sulfur protein as acceptor (GO:0016673)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
6,7-dimethyl-8-ribityllumazine synthase activity (GO:0000906)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor (GO:0016672)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase (NAD+) activity (GO:0004022)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
L-alanine:2-oxoglutarate aminotransferase activity (GO:0004021)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
adenylylsulfate kinase activity (GO:0004020)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA regulatory element binding translation repressor activity (GO:0000900)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
URM1 activating enzyme activity (GO:0042292)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose-6-phosphate binding (GO:0070095)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
adenylosuccinate synthase activity (GO:0004019)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity (GO:0004018)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
signaling receptor binding (GO:0005102)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
adenylate kinase activity (GO:0004017)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase activity (GO:0004016)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosylmethionine-8-amino-7-oxononanoate transaminase activity (GO:0004015)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosylmethionine decarboxylase activity (GO:0004014)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cinnamyl-alcohol dehydrogenase activity (GO:0045551)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
adenosylhomocysteinase activity (GO:0004013)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor (GO:0016662)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
trehalose transmembrane transporter activity (GO:0015574)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transporter activity (GO:1903089)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
sphingolipid delta-4 desaturase activity (GO:0042284)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042283)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inosine nucleosidase activity (GO:0047724)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042281)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase activity (GO:0045547)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor (GO:0016652)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	30	0	1.04	-	 < 0.01	6.25E-01	1.00E00
adenosine kinase activity (GO:0004001)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosine deaminase activity (GO:0004000)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
threonine efflux transmembrane transporter activity (GO:0015565)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
efflux transmembrane transporter activity (GO:0015562)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
RNA cap trimethylguanosine synthase activity (GO:0071164)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activating kinase activity (GO:0019912)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-triphosphatase activity (GO:0047710)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingolipid binding (GO:0046625)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
cyanamide hydratase activity (GO:0018820)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor (GO:0016647)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	11	0	.38	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	15	0	.52	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor (GO:0016642)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
C4-dicarboxylate transmembrane transporter activity (GO:0015556)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity (GO:0019909)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protein domain specific binding (GO:0019904)	12	0	.42	-	 < 0.01	1.00E00	1.00E00
proline-rich region binding (GO:0070064)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydratase activity (GO:0018812)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor (GO:0016639)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
enoyl-[acyl-carrier-protein] reductase activity (NAD(P)H) (GO:0016631)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA strand annealing activity (GO:0033592)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2alpha kinase activity (GO:0004694)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
cardiolipin synthase (CMP-forming) (GO:0043337)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase activity (GO:0004691)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-N3-)-methyltransferase activity (GO:0070042)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	47	0	1.64	-	 < 0.01	4.12E-01	1.00E00
hydroxypyruvate reductase [NAD(P)H] activity (GO:0016618)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
dynein intermediate chain binding (GO:0045505)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
dynein heavy chain binding (GO:0045504)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase activity (GO:0016615)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
dynein light chain binding (GO:0045503)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
calmodulin-dependent protein kinase activity (GO:0004683)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
rRNA (guanosine-2'-O-)-methyltransferase activity (GO:0070039)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (pseudouridine) methyltransferase activity (GO:0070037)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
isopropylmalate transmembrane transporter activity (GO:0034658)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
AMP-activated protein kinase activity (GO:0004679)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
glutaminyl-peptide cyclotransferase activity (GO:0016603)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein histidine kinase activity (GO:0004673)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
high-affinity secondary active nitrite transmembrane transporter activity (GO:0015513)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity (GO:0004671)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein tag activity (GO:0031386)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
protein kinase activator activity (GO:0030295)	23	0	.80	-	 < 0.01	1.00E00	1.00E00
histone H3K4me/H3K4me2/H3K4me3 demethylase activity (GO:0034647)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein lysine deacetylase activity (GO:0033558)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
prephenate dehydrogenase (NADP+) activity (GO:0004665)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uracil:monoatomic cation symporter activity (GO:0015505)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
prephenate dehydratase activity (GO:0004664)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Rab geranylgeranyltransferase activity (GO:0004663)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase activity (GO:0004662)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
MAP kinase tyrosine phosphatase activity (GO:0033550)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protein geranylgeranyltransferase activity (GO:0004661)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase activity (GO:0004660)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
armadillo repeat domain binding (GO:0070016)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-amino acid efflux transmembrane transporter activity (GO:0034639)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transporter activity (GO:0034634)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MAP kinase phosphatase activity (GO:0033549)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
proline dehydrogenase activity (GO:0004657)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
porphobilinogen synthase activity (GO:0004655)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-phosphatase activity (GO:0004651)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
polygalacturonase activity (GO:0004650)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3K9 demethylase activity (GO:0032454)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
histone H3K4 demethylase activity (GO:0032453)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (GO:0032452)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
demethylase activity (GO:0032451)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
maltose alpha-glucosidase activity (GO:0032450)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
serine-type exopeptidase activity (GO:0070008)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
metalloaminopeptidase activity (GO:0070006)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
cysteine-type aminopeptidase activity (GO:0070005)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine-type exopeptidase activity (GO:0070004)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
threonine-type peptidase activity (GO:0070003)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
aspartic-type peptidase activity (GO:0070001)	55	0	1.92	-	 < 0.01	2.65E-01	1.00E00
5-formyltetrahydrofolate cyclo-ligase activity (GO:0030272)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-methylbutanal reductase (NADH) activity (GO:0052676)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
endopolyphosphatase activity (GO:0000298)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
3-methylbutanal reductase (NADPH) activity (GO:0052675)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
spermine transmembrane transporter activity (GO:0000297)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
adenine nucleotide transmembrane transporter activity (GO:0000295)	13	0	.45	-	 < 0.01	1.00E00	1.00E00
O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylglycinamide formyltransferase activity (GO:0004644)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA hairpin binding (GO:0032448)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolecarboxamide formyltransferase activity (GO:0004643)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylanthranilate isomerase activity (GO:0004640)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase [NAD(P)+] activity (GO:0032440)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase (NADPH) activity (GO:0030267)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
K48-linked deubiquitinase activity (GO:1990380)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
arginine binding (GO:0034618)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-phosphate 5-kinase activity (GO:0000285)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazole carboxylase activity (GO:0004638)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylamine-glycine ligase activity (GO:0004637)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase activity (GO:0004634)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase activity (GO:0004633)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
GMP 5'-nucleotidase activity (GO:0050484)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphopantothenate--cysteine ligase activity (GO:0004632)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
IMP 5'-nucleotidase activity (GO:0050483)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphomevalonate kinase activity (GO:0004631)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phospholipase D activity (GO:0004630)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
histone H2A acetyltransferase activity (GO:0043998)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
guanine phosphoribosyltransferase activity (GO:0052657)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-isoleucine transaminase activity (GO:0052656)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
L-valine transaminase activity (GO:0052655)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
L-leucine transaminase activity (GO:0052654)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
[cytochrome c]-lysine N-methyltransferase activity (GO:0000277)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phospholipase C activity (GO:0004629)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol phospholipase D activity (GO:0004621)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
butanol dehydrogenase (NAD+) activity (GO:1990362)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
polysaccharide binding (GO:0030247)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
carbohydrate binding (GO:0030246)	36	0	1.25	-	 < 0.01	6.37E-01	1.00E00
peroxisome targeting sequence binding (GO:0000268)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid phosphatase activity (GO:0052642)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate mutase activity (GO:0004619)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate kinase activity (GO:0004618)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate dehydrogenase activity (GO:0004617)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphomannomutase activity (GO:0004615)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoglucomutase activity (GO:0004614)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase (ATP) activity (GO:0004612)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase activity (GO:0004611)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoacetylglucosamine mutase activity (GO:0004610)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hexitol dehydrogenase activity (GO:0031320)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
nitrilase activity (GO:0000257)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-4 methylsterol oxidase activity (GO:0000254)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity (GO:0000252)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine decarboxylase activity (GO:0004609)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine N-methyltransferase activity (GO:0004608)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
lanosterol synthase activity (GO:0000250)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidate cytidylyltransferase activity (GO:0004605)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphoadenylyl-sulfate reductase (thioredoxin) activity (GO:0004604)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex binding (GO:0032407)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutathione peroxidase activity (GO:0004602)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
peroxidase activity (GO:0004601)	16	0	.56	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex binding (GO:0032404)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-22 sterol desaturase (NADPH) activity (GO:0000249)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-5 sterol desaturase activity (GO:0000248)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-8 sterol isomerase activity (GO:0000247)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
delta24(24-1) sterol reductase activity (GO:0000246)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3 iron, 4 sulfur cluster binding (GO:0051538)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity (GO:0102158)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-methylcitrate synthase activity (GO:0050440)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phospholipid-hydroperoxide glutathione peroxidase activity (GO:0047066)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
azole transmembrane transporter activity (GO:1901474)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activator activity (GO:0010698)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nitrite reductase (NO-forming) activity (GO:0050421)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-hydroxykynureninase activity (GO:0061981)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
biotin-[pyruvate-carboxylase] ligase activity (GO:0071734)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-adenylyl sulfate transmembrane transporter activity (GO:1902557)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 2'-phosphotransferase activity (GO:0000215)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease activity (GO:0000213)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
NAD+ diphosphatase activity (GO:0000210)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-tyrosyl-tRNA(Tyr) deacylase activity (GO:0051500)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
homoisocitrate dehydrogenase activity (GO:0047046)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nicotinic acid riboside hydrolase activity (GO:0070636)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
S-methyl-5-thioadenosine phosphorylase activity (GO:0017061)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nicotinamide riboside hydrolase activity (GO:0070635)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sterol 14-demethylase activity (GO:0008398)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
centromeric DNA binding (GO:0019237)	13	0	.45	-	 < 0.01	1.00E00	1.00E00
[acetyl-CoA carboxylase]-phosphatase activity (GO:0050406)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-7-methylguanine glycosylase activity (GO:0043916)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
6-phosphogluconolactonase activity (GO:0017057)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
structural constituent of nuclear pore (GO:0017056)	29	0	1.01	-	 < 0.01	6.25E-01	1.00E00
histone deacetylase binding (GO:0042826)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity (GO:0070626)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-erythro-sphingosine kinase activity (GO:0017050)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
rRNA pseudouridine synthase activity (GO:0120159)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mechanosensitive monoatomic ion channel activity (GO:0008381)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acylsphingosine amidohydrolase activity (GO:0017040)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
thioredoxin peroxidase activity (GO:0008379)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
acetylglucosaminyltransferase activity (GO:0008375)	11	0	.38	-	 < 0.01	1.00E00	1.00E00
O-acyltransferase activity (GO:0008374)	25	0	.87	-	 < 0.01	1.00E00	1.00E00
deacetylase activity (GO:0019213)	18	0	.63	-	 < 0.01	1.00E00	1.00E00
phosphatase inhibitor activity (GO:0019212)	12	0	.42	-	 < 0.01	1.00E00	1.00E00
sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity (GO:0047012)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
actinin binding (GO:0042805)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein homodimerization activity (GO:0042803)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
identical protein binding (GO:0042802)	15	0	.52	-	 < 0.01	1.00E00	1.00E00
histone H3K4 methyltransferase activity (GO:0042800)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
